guid,entry name,English
6ce98fec-a031-4bec-9459-fb7a90add951,Item_IT_EXP_76,"A lightweight and extremely
strong plant. Used to make
nets for pitfall traps."
dc29c833-918c-4d55-970e-66e8455066b2,Item_IT_28,Honey
2557558a-2a58-4a5a-9647-52fb17b5551e,Item_IT_EXP_28,"Highly nutritious honey.
Combine with potions to make
the more potent mega potion."
43c443eb-9356-403d-b3e9-77dcc496644d,Item_IT_66,Mandragora
d3c62fff-555b-4068-a1da-d335dd5d6ba5,Item_IT_EXP_66,"A dangerous fungus said to draw
the life out of people. Required to
craft immunizers and max potions."
3decd9fb-b598-40ab-8262-febe43645d43,Item_IT_67,Blue Mushroom
5edefde4-e2a3-4a86-b0ea-f9ddd31650f5,Item_IT_EXP_67,"A mushroom infused with
power-enhancing effects.
Used in restorative items."
a5052dbb-e7ef-47c4-af9a-189384769648,Item_IT_74,Exciteshroom
f70451e7-4d17-4546-8dd7-90fbafb3adef,Item_IT_EXP_74,"Has a very strange aroma.
Is it edible? Is it deadly?
Required to make farcasters."
ab4cdf4b-4cd0-4511-862c-954eee6e3eaf,Item_IT_75,Smokenut
5ae3d03d-9a30-48d7-ba43-98ab78c4fc35,Item_IT_EXP_75,"A nut that produces torrents of
smoke. Combine with other items
to add more effects."
67d3d7da-64e7-47cd-b641-f0af80ffeb7b,Item_IT_29,Bitterbug Broth
c2ff59b5-b7a4-41a1-8d74-ea9a316b85a5,Item_IT_EXP_29,"Bitterbug essence that has
innate healing abilities. Used as
a component in many medicines."
cb2a4561-860e-41c1-9dcc-df9e6715b3a8,Item_IT_30,Flashbug Phosphor
2106451f-76e0-4806-9999-0cf171862d35,Item_IT_EXP_30,"Luminous essence from an insect
that emits a powerful flash when
it dies. Used to craft flash pods."
56c19861-03ff-406b-a78a-72e1c4f27a1c,Item_IT_19,Pitfall Trap
0386acfc-30e4-4f2c-a53f-4bf38b82abd6,Item_IT_EXP_19,"A trap for catching large monsters.
It is tripped by heavy weight."
dd401bf7-951a-4d0e-ac1f-99ab14c2811a,Item_IT_18,Capture Net
48a481b0-bb7c-468e-b6e3-25f71e96b846,Item_IT_EXP_18,"A net that can be fired from your
Slinger. Use it to capture small
creatures."
caca45b2-50a6-46e0-b96b-169747d01a26,Item_IT_31,Godbug Essence
5778c1cf-6c38-4a1d-bc6f-a0c0e9ec6922,Item_IT_EXP_31,"Essence from an insect said to
live a millennium. Combine it with
other items to add their properties."
128fc163-2978-4399-ad47-cf21d7cfd2d4,Item_IT_32,Thunderbug Capacitor
d8cdb844-3c89-483d-b755-3e1ced00e848,Item_IT_EXP_32,"Substance from an insect that emits
electricity when struck. Required to
craft Shock Traps and Thunder Ammo."
f66a17b0-4136-4c7c-8cc4-7116d01e2a48,Item_IT_73,Trap Tool
4b4506eb-77f7-47a3-8571-085e5d4f958e,Item_IT_EXP_73,"A must-have item for putting
together pitfall traps and
shock traps."
8b33b49f-2c70-4f11-a7ab-699aabad4745,Item_IT_33,Doshaguma Hide
82768f05-dd1f-43ff-9019-a9b7dfc04fb3,Item_IT_EXP_33,"A Doshaguma hide. The numerous
scars on its body are proof of
its beastly, aggressive nature."
99d9c79a-6084-47e2-a5f1-8d08da45a463,Item_IT_34,Doshaguma Fur
c5d1d81f-0f5f-40fc-bc03-5d55f64db053,Item_IT_EXP_34,"Doshaguma fur. It makes a durable
crafting material thanks to its
stiff, bristly texture."
8719a4c9-37f2-4e07-b59b-9ef66d53ff91,Item_IT_35,Doshaguma Claw
aff6f9fb-818e-4efb-9d7d-9f90afd55573,Item_IT_EXP_35,"A Doshaguma claw. Sharp as it is
tough, it can cut through muscled
prey without a single chip."
d0286d3c-9c71-40f2-aa25-7cd78786551c,Item_IT_36,Doshaguma Fang
ebd2ae18-dbfb-430b-98c7-b80936a6e50c,Item_IT_EXP_36,"A Doshaguma fang. They grow
large and sharp so they can
pierce their prey with ease."
d14aa01e-91d3-4eb1-b7bd-685c4b25eded,Item_IT_37,Beast Gem
6c7df06f-cdd7-4f5d-bb3f-53d816b0c20e,Item_IT_EXP_37,"A valuable jewel formed from
coagulated juices inside a
monster. Glows wildly."
b281bd0a-ddb8-453d-9e57-8a2e8d98ba61,Item_IT_38,Normal Ammo
b05d0046-a38e-4eb1-afd3-8a23a42ef7f1,Item_IT_EXP_38,"Standard ammo. Fires multiple
shots with each pull of the trigger.
Unlimited capacity."
ed9417b3-aa91-409b-97ad-913864e2c02b,Item_IT_39,Pierce Ammo
984b94bb-d78c-4021-9bf7-2b2a1c9ce0af,Item_IT_EXP_39,"Armor-piercing ammo. Depending
on the monster, it can deal multiple
hits. Unlimited capacity."
9e8e12d7-ab23-4aec-9e29-bae0ec4a5da7,Item_IT_40,Spread Ammo
a96ca10c-e4ff-4007-9643-5dc70748e4f9,Item_IT_EXP_40,"Ammo made for close combat.
Short range but high power.
Unlimited capacity."
8449c55d-9fc0-46c6-a0e0-9b282e27c97d,Item_IT_41,Sticky Ammo
28ae7a3e-485b-4fa0-88bd-7df7f890ea68,Item_IT_EXP_41,"Powerful ammo that lodges
in a target and explodes.
Headshots stun."
8e2543d5-de7c-47c2-a641-91b81197aa6a,Item_IT_42,Cluster Bomb
5c4da5b0-22d8-43eb-9d4f-be93fa3a0b47,Item_IT_EXP_42,"Ammo that fragments into
multiple shells upon impact.
Beware of friendly fire!"
f6fded85-8210-43ef-9fd7-e7d016cafe98,Item_IT_43,Flaming Ammo
ceec2a34-2780-4ab9-8b56-9662e79d9b4c,Item_IT_EXP_43,"Ammo that packs a punch
against monsters susceptible
to fire."
849722fa-a127-4382-8ccc-952d33d46a39,Item_IT_44,Water Ammo
ed8b90a9-b1ed-4357-83ae-5614da7b6108,Item_IT_EXP_44,"Ammo that packs a punch
against monsters susceptible
to water."
0a2766a5-75ce-4766-becc-e0a95ebfa8c3,Item_IT_45,Thunder Ammo
93759b3f-1f53-4b56-b377-65e060642ecf,Item_IT_EXP_45,"Ammo that packs a punch
against monsters susceptible
to thunder."
baf53e79-2f2d-498f-999d-9307edd6375b,Item_IT_46,Freeze Ammo
9f1c190b-e269-47ee-ade7-b8b59847a27b,Item_IT_EXP_46,"Ammo that packs a punch
against monsters susceptible
to ice."
d1476e31-f629-498b-af81-0800aa80ca5a,Item_IT_47,Dragon Ammo
2c8db3a6-f491-4a21-b2d7-2d1bad70c07d,Item_IT_EXP_47,"Ammo that packs a punch
against monsters weak to
dragon."
d4824294-4819-41bb-badf-207c0c8c261f,Item_IT_48,Poison Ammo
7bf9c950-1093-467d-88d7-b2c66c4e29ed,Item_IT_EXP_48,"Ammo that inflicts poison. Some
targets require multiple shots in
order for the status to take effect."
de830139-230f-4539-acf3-46633ae7d878,Item_IT_49,Paralysis Ammo
151b2826-eba1-4383-babb-59f6b77a5b17,Item_IT_EXP_49,"Ammo that causes paralysis. Some
targets require multiple shots in
order for the status to take effect."
df300ac5-d505-4b79-bf64-fcddc88f4aad,Item_IT_50,Sleep Ammo
7c3ace92-c016-4ef6-b2db-54ede53b006c,Item_IT_EXP_50,"Ammo that induces sleep. Some
targets require multiple shots in
order for the status to take effect."
cdeff929-2f98-48b9-9bfb-246cc764c4f3,Item_IT_51,Slicing Ammo
7b456395-c35f-4849-8ee4-b84b32d4f631,Item_IT_EXP_51,"Ammo that ejects sharp blades
on impact, which can sever tails."
8e550ef9-ac52-4daf-aad4-ae810a17ccc8,Item_IT_53,Iron Ore
9a067869-1e19-4bc9-9499-074b1bf707b1,Item_IT_EXP_53,"Ore that can be smelted into a
multi-purpose metal."
26cb6912-5538-4a14-8cb7-f26033024660,Item_IT_54,Machalite Ore
ea80d93d-322d-43a6-9b26-ba0ea0f94ab9,Item_IT_EXP_54,"Ore mined from mineral veins.
Refined Machalite Steel is far
sturdier than its iron cousin."
86ecd012-a86e-4dd4-bf17-b24309c063a7,Item_IT_55,Dragonite Ore
9d2f47d7-3cf6-4742-b4e2-e6b6591125a2,Item_IT_EXP_55,"Ore sourced from mining outcrops.
A rare material coveted for its
durability in armor crafting."
c44667f9-182e-437c-8d8f-9780963e27c4,Item_IT_56,Carbalite Ore
7c326b07-abe5-47c4-923f-108620f4d040,Item_IT_EXP_56,"Ore obtained from mining outcrops.
Still under research, but known to
yield highly pure metal."
eaca3930-694e-4915-99fb-9291dd4bca92,Item_IT_57,Earth Crystal
d0f64edf-0d77-4dc7-8266-44db0ffdb224,Item_IT_EXP_57,"Crystallized microbes sourced from
mining outcrops. Coveted as an
abrasive for polishing equipment."
310258cd-864b-467c-9a89-fce617607e9f,Item_IT_58,Mystery Bone
d7148313-648a-45f5-8001-33d577e4c176,Item_IT_EXP_58,"A weathered bone taken from
a bonepile. Erosion has left it
too fragile to use in crafting."
8367fad4-361b-4224-a2bd-d51d546ae83b,Item_IT_59,Sturdy Bone
088526ee-711d-45fe-87a1-d2c32ff4bdf8,Item_IT_EXP_59,"A rigid bone taken from
a bonepile. Durable but
light and easy to handle."
7a5b827d-59b0-4631-a7f6-21e2563dc173,Item_IT_60,Brute Bone
a67ba801-1b10-4a77-ac5f-7b52059e3809,Item_IT_EXP_60,"A sturdy bone from a beast.
Easy to use in crafting."
5bd1e9e3-bd64-4329-bfd7-d2be3c4cab4b,Item_IT_61,Colossal Bone
ef5e9f5e-9f1f-4a24-97dc-b0096e69a55f,Item_IT_EXP_61,"A massive bone from a beast.
Carefully cut out and used
for crafting."
3df8345f-ced5-42ce-9743-5b0403658511,Item_IT_62,Dragonbone Relic
d0fa6441-e3cd-4bca-b6ad-8c2950424fa7,Item_IT_EXP_62,"A high-quality bone taken from a
bonepile. The remains of a dragon
that once roamed these lands."
f78cf521-2771-42a1-8759-1ec622060ac4,Item_IT_80,Balahara Shell
45c6f875-2197-4771-a1ef-e08aba878bb0,Item_IT_EXP_80,"A Balahara shell. The
fulgurite it has absorbed
enhances its hardness."
d3ca0cb9-a99f-4bad-9424-e77aade8be98,Item_IT_81,Balahara Scale
40ea3a1a-e16f-4e6c-8935-62d052d5522d,Item_IT_EXP_81,"A Balahara scale. The erosion
caused by constant digging limits
its usefulness in crafting."
9552f1a4-5fa4-49c1-b558-bff0e911aff7,Item_IT_82,Balahara Skull
5e2ad950-625e-4865-a9a8-fa3bc494a46b,Item_IT_EXP_82,"The skull of a Balahara.
Stronger than most, it's built to
withstand harsh dives into sand."
870c1daa-be2f-48cc-b952-1114c3022f23,Item_IT_83,Balahara Tail
10773354-f4ac-4945-8a56-d26269b1e5b6,Item_IT_EXP_83,"A Balahara tail. Its unique, twisted
shape allows it to propel itself
through earth with great force."
24e8ee47-b4be-4a59-b990-4b1170d199bd,Item_IT_704,Balahara Black Pearl
fbf86b8c-2930-4ce9-a35a-cfe625b414b5,Item_IT_EXP_704,"A jewel formed from ore that
spent years inside a Balahara.
Bewitchingly beautiful."
2929ab0e-7caa-4dd0-982c-694f4ca8e0e3,Item_IT_84,Chatacabra Jaw
eb001f52-f909-4a26-88f0-2783cbb345a7,Item_IT_EXP_84,"The mandible plating of a
Chatacabra. Hard protrusions
stud the thick but supple leather."
3afaef4e-b495-4acb-880d-f94a42ab17c8,Item_IT_85,Chatacabra Hide
3dad2854-7b14-4ee8-af4a-56b19df459ca,Item_IT_EXP_85,"The thick hide of a Chatacabra.
Elastic and easy to mold thanks to
the monster's gluttonous diet."
675652f0-e863-4d81-9467-e135c19e05e0,Item_IT_86,Chatacabra Shell
98f78a05-f0df-4135-8762-0d876533f485,Item_IT_EXP_86,"Plating that covers a Chatacabra's
forelimbs. A lifetime of licking has
left it both smooth and sturdy."
ea409726-51b4-419f-8e3d-77a26856fdfb,Item_IT_87,Chatacabra Scale
8ca68024-92f5-40ca-a126-d6f7e6311789,Item_IT_EXP_87,"A jagged scale from a Chatacabra's
hide, especially tough and well
suited for use in crafting armor."
3ff17168-a8af-403f-aac9-1d49434b8508,Item_IT_88,Quematrice Scale
f02d40b8-1be2-4c05-a435-6b21d78047d9,Item_IT_EXP_88,"The scale of a Quematrice. Its
fine texture acts as a natural file
used to grind and polish armor."
085a2e06-190f-4bbd-bb21-1fa5681f16eb,Item_IT_89,Quematrice Hide
ee3c4762-fb30-421c-bdfd-15bbf9bfa006,Item_IT_EXP_89,"The hide of a Quematrice. Quite
thick despite its wrinkly form,
it is highly resistant to fire."
edbe99f6-135d-45d5-aa5b-319d20a63f56,Item_IT_90,Quematrice Crest
7f2ed0f7-718a-4867-bc4b-b9c25b3e15a7,Item_IT_EXP_90,"The crest of a Quematrice. Its
flamboyant red color serves as
a decoy to would-be predators."
392462a0-6153-4bf0-9318-4696f4b8e612,Item_IT_91,Quematrice Tail
b397fa27-2052-4273-a71c-d46c7db41d80,Item_IT_EXP_91,"The tail of a Quematrice. Its
many pleats scrape against
each other to create sparks."
85308c8d-cedd-4eb6-a6bf-9fdcc73784a2,Item_IT_92,Wyvern Gem
a3a13644-5f02-4112-8bb3-8155419d7e1b,Item_IT_EXP_92,"Throughout a wyvern's life,
impurities gather and form
this peculiar gem."
afbf235d-1ddd-44f7-9c35-0ef1a9f0eba4,Item_IT_664,Guardian Pelt
9ff73067-0588-4b27-9da7-3debb4fd1a75,Item_IT_EXP_664,"Contains an unknown substance.
It has lost any color it previously
had and courses with energy."
e7aa52ac-6c6c-4bed-b68c-9d5d225ff59a,Item_IT_665,Guardian Pelt+
1e6c3c7a-3cd0-4777-85c6-1b13c13ba993,Item_IT_EXP_665,"A high-quality Guardian pelt.
Exceptionally smooth and tough."
b2ca64bf-3408-472c-aa5b-29e718ec3329,Item_IT_93,Herbivore Shell
fab4d77d-d479-4a50-b2ca-e68ea786ffd4,Item_IT_EXP_93,"Part of a shell taken from an
herbivore. Relatively sturdy for
a small monster material."
b78f2eb8-2c4f-470e-b68b-c1359714452b,Item_IT_94,Bulaqchi Shell
7692a44c-4cd7-4842-bf64-c6c9dead1121,Item_IT_EXP_94,"A Bulaqchi shell. Great for
crafting thanks to its advanced
durability and light weight."
5d5615e3-7aa1-4519-84a2-9afe74e93436,Item_IT_95,Talioth Scale
a149a1e7-e5a9-4d38-a21c-cc0cc557d603,Item_IT_EXP_95,"A Talioth scale. Conditioned in
harsh environments, it is built
to protect the body like armor."
dd7ea16a-94ce-47a3-99ac-6f6852afbf30,Item_IT_96,Sharp Fang
50cfb71f-43b8-4d14-bd20-f95ac018f0de,Item_IT_EXP_96,"Fangs come in many shapes
and sizes. Choose the right
fang for the job."
1aa97ece-c211-4ce3-950e-d1593f4d956c,Item_IT_97,Wingdrake Hide
13e86b0b-8c2f-445d-87ab-018e2e91e65c,Item_IT_EXP_97,"A material carved from
wingdrakes. Lightweight and
often used when crafting armor."
fee2cb61-83e6-45ff-ae91-12431476032e,Item_IT_98,Acute Fang
fcc85892-c7c1-45bf-8f5f-725d6f95e6f4,Item_IT_EXP_98,"Fangs come in many shapes
and sizes. This one is small
but can still pierce scale."
6c98da56-5c92-46c8-8f6b-68ff54b20958,Item_IT_99,Dung
c79fc831-c8eb-4865-8fa6-b07d19895ab7,Item_IT_EXP_99,"Its eye-watering stench makes
useful Slinger ammo."
c5178a4b-9132-427e-8d37-5f1ce70b2f65,Item_IT_100,<COLOR FF0000>#Rejected#</COLOR> Item_IT_100
7f54a624-ebda-4365-91a7-725d748670bf,Item_IT_EXP_100,<COLOR FF0000>#Rejected#</COLOR> Item_IT_EXP_100
bbb1e057-94eb-402c-93a2-ed137e46f734,Item_IT_676,Close-range Coating
95887108-c1d0-4c83-bcbe-b9955f846e9e,Item_IT_EXP_676,"A coating designed to deal more
damage to nearby targets, at the
cost of a reduced maximum range."
b109664c-65b3-4e08-803f-7a0e8ed63280,Item_IT_677,Power Coating
c21786cb-9d20-49c2-9fa0-799874a44653,Item_IT_EXP_677,"A coating that increases
the attack power of arrows."
b0babd8f-224b-4e80-bbf8-3bfa2db02cca,Item_IT_678,Pierce Coating
988ece2b-33ca-44ac-ba94-18b52ac23a49,Item_IT_EXP_678,"A coating that increases piercing
ability. Depending on the monster,
it can deal multiple hits."
514122a6-e0b6-406e-8110-8b46de4e321a,Item_IT_679,Paralysis Coating
3cfeccbc-ff07-4220-b1cb-18f63453c68b,Item_IT_EXP_679,"A coating that applies paralysis
effects to arrows."
ea91f30f-f910-42dd-9f43-b0d5f23a6367,Item_IT_680,Poison Coating
a29de968-b05e-494d-bea3-1f50fd0666d0,Item_IT_EXP_680,"A coating that applies poison
effects to arrows."
ada43a9c-55d7-4550-bad8-116dc22efbbe,Item_IT_681,Sleep Coating
a48155eb-2cc9-49dc-985c-c7340728c826,Item_IT_EXP_681,"A coating that applies sleep
effects to arrows."
759d9b9d-61f8-48cf-8072-db5886ce3636,Item_IT_682,Blast Coating
f9d674bc-cb46-467b-b376-f7e2c33ce307,Item_IT_EXP_682,"A coating that applies explosive
powder to arrows."
a45bef4a-16c3-4342-b9b9-55ce55f858b8,Item_IT_683,Exhaust Coating
1a94f859-2489-4565-b8f0-3a73704c78db,Item_IT_EXP_683,"A coating that applies a fluid
which induces exhaust to arrows."
0975d592-5c48-4860-986b-e6bf9fea79bd,Item_IT_101,Rolled-up Dung
08369f50-d3c6-4d97-b3f0-9809bd6511aa,Item_IT_EXP_101,"A ball of condensed monster
dung. Used to make dung pods
for your Slinger."
0b5a8821-1e13-4e8e-9e68-b58ba97321db,Item_IT_102,Rathian Scale+
059ea98e-3297-4e74-be3d-702a6854e9bd,Item_IT_EXP_102,"A superior Rathian scale.
Looks like a normal Rathian
scale but is much harder."
32b5b0a0-0a05-4ead-a4bf-3ed037ab8174,Item_IT_103,Rathian Carapace
c5949232-5e19-4cc3-8c8b-aa7aafc6c619,Item_IT_EXP_103,"Rathian carapace prized for
its lavish green coloration.
An excellent armor material."
aa0957d4-fa7d-4cf2-8731-024092bc9116,Item_IT_104,Rathian Webbing
ba0877ed-f953-45c9-b4a9-7802ac9b45c4,Item_IT_EXP_104,"A quality Rathian wing membrane.
This heat-resistant material is
often used as armor lining."
e202a2bd-5cb0-49f9-947a-5ab15634d613,Item_IT_105,Rathian Spike+
9f21c865-2468-4852-9f58-850f70b3ef83,Item_IT_EXP_105,"Rathian hairs, keen as a sword.
Longer and sturdier than normal,
they also contain more poison."
78740a74-1542-413d-b89d-216e2e30e9b2,Item_IT_106,Rathian Ruby
5b34a195-bd90-4a58-bab6-1ccbf0aaee6c,Item_IT_EXP_106,"A rare, precious gem from inside
a Rathian. Almost too nice to use."
0dff8f60-6c68-48ac-8f50-f83cef92e7b8,Item_IT_113,Toadstool
4290fab4-220a-43a4-9c39-f03450aa051a,Item_IT_EXP_113,"A mushroom with poison
properties. Needed to craft
Poison Ammo and smoke bombs."
119847c1-4c5d-407a-88c4-8a502f8c0329,Item_IT_114,Parashroom
81d73c45-caed-4545-8c0a-bbd91bc61b20,Item_IT_EXP_114,"A mushroom that induces paralysis.
Needed to craft Paralysis Ammo
and tranq bombs."
350c1d53-8fcd-4fc7-9d1a-4c2443213600,Item_IT_115,Sleep Herb
c3358239-3d03-4211-9bb6-b0cb1d0bf663,Item_IT_EXP_115,"A plant containing sleeping
agents. Needed to craft Sleep
Ammo and tranq bombs."
1517fcb7-7a43-4c6e-8fb3-740cbec80e0c,Item_IT_116,Fire Herb
e3c5e102-c558-4c51-b954-976fe21eacc7,Item_IT_EXP_116,"A wondrous, flammable plant.
Useful for crafting explosives
and Flaming Ammo."
601e3b1e-1925-4983-ba3d-e396b845ac68,Item_IT_117,Flowfern
a93ab89a-a053-4891-9a42-0e52730cd274,Item_IT_EXP_117,"This plant's leaves store a great
amount of water. A component
for making Water Ammo."
b2c5e0dc-fc32-463f-bc28-e865c1a3a0b9,Item_IT_118,Snow Herb
06d77522-c03d-4e7a-b79c-1c83c5508e84,Item_IT_EXP_118,"A plant that radiates ice-cold
air. Use in combinations to
create Freeze Ammo."
d91db0ad-efb4-470f-82df-44d9c777f574,Item_IT_119,Dragonfell Berry
165653e6-2070-4a1e-9f4c-44eb3d08402d,Item_IT_EXP_119,"A mysterious berry rumored for
eons to be loathed by dragons.
Required to craft Dragon Ammo."
fa910e1b-727b-4690-9329-ca829dfb2082,Item_IT_120,First-aid Med
23483cd7-8b1c-4877-b601-0bbfdfbcc842,Item_IT_EXP_120,"Restores a small amount of health.
Returned after quest completion."
a2b4b0c1-10fc-4a1e-bf6f-d9540fee136f,Item_IT_121,EZ Ration
bfb9bf4e-80b1-4a4b-9163-418453a523bb,Item_IT_EXP_121,"Restores a small amount of stamina.
Not usable with Portable BBQ Grill.
Returned after quest completion."
e573cf17-6d97-4047-8229-f7162d610aaf,Item_IT_122,EZ Flash Bomb
b721e5cb-a3e5-451c-9d95-755c8c12b3e0,Item_IT_EXP_122,"Slinger ammo that explodes
with a bright flash after it's fired.
Returned after quest completion."
2539db33-88e9-4272-b114-c5de20786d4c,Item_IT_123,EZ Shock Trap
6993f5f0-b7ef-4a55-baa4-c4d3becafed0,Item_IT_EXP_123,"A trap that immobilizes a target.
Use it to capture monsters.
Returned after quest completion."
eb0a0a27-cb59-4a4b-92fb-e536e5799757,Item_IT_124,EZ Pitfall Trap
c182ac18-666c-42a6-977e-cd1538f9d207,Item_IT_EXP_124,"Activates a pitfall to catch
monsters with.
Returned after quest completion."
